2.27,7.27,1.05,16.20,0,2.27,7.27,1.05,16.2
2.27,7.27,1.05,16.20,10,2.71,7.28,1.11,17.47886799
2.27,7.27,1.05,16.20,20,3.12,7.31,1.13,18.65216906
2.27,7.27,1.05,16.20,40,4.41,7.31,1.27,22.32288214
2.27,7.27,1.05,16.20,60,6.26,7.32,1.28,27.36898157
2.27,7.27,1.05,16.20,80,8.41,7.34,1.32,33.27771365
1.1,7.11,0.96,12.72232359,0,1.1,7.11,0.96,12.72232359
1.1,7.11,0.96,12.72232359,10,1.25,7.13,0.98,13.1777695
1.1,7.11,0.96,12.72232359,20,1.32,7.13,0.98,13.36778998
1.1,7.11,0.96,12.72232359,40,1.54,7.15,1.02,14.03738596
1.1,7.11,0.96,12.72232359,60,1.97,7.16,1.02,15.21671942
1.1,7.11,0.96,12.72232359,80,2.35,7.16,1.05,16.28445355
1.99,7.1,1.01,15.18655744,0,1.99,7.1,1.01,15.18655744
1.99,7.1,1.01,15.18655744,10,2.33,7.1,1.02,16.12157885
1.99,7.1,1.01,15.18655744,20,2.8,7.1,1.02,17.39743065
1.99,7.1,1.01,15.18655744,40,3.6,7.11,1.04,19.60528766
1.99,7.1,1.01,15.18655744,60,4.59,7.13,1.07,22.35304413
1.99,7.1,1.01,15.18655744,80,6.48,7.16,1.08,27.53185627
2.14,7.26,1.01,15.78678086,0,2.14,7.26,1.01,15.78678086
2.14,7.26,1.01,15.78678086,10,2.52,7.24,1.02,16.80625582
2.14,7.26,1.01,15.78678086,20,2.99,7.29,1.02,18.14243158
2.14,7.26,1.01,15.78678086,40,3.78,7.32,1.03,20.3352076
2.14,7.26,1.01,15.78678086,60,5.54,7.27,1.04,25.06460622
2.14,7.26,1.01,15.78678086,80,7.33,7.3,1.06,29.98402532
2.85,7.48,1.09,18.07607522,0,2.85,7.48,1.09,18.07607522
2.85,7.48,1.09,18.07607522,10,3.11,7.42,1.1,18.72154161
2.85,7.48,1.09,18.07607522,20,3.66,7.43,1.1,20.22662446
2.85,7.48,1.09,18.07607522,40,4.9,7.53,1.12,23.73747905
2.85,7.48,1.09,18.07607522,60,6.42,7.51,1.14,27.86363806
2.85,7.48,1.09,18.07607522,80,8.55,7.55,1.15,33.70601378
2.27,7.27,1.05,16.2,0,2.27,7.27,1.05,16.2
2.27,7.27,1.05,16.2,10,2.63,7.27,1.08,17.21344256
2.27,7.27,1.05,16.2,20,3.12,7.33,1.11,18.65216906
2.27,7.27,1.05,16.2,40,4.44,7.34,1.17,22.31986595
2.27,7.27,1.05,16.2,60,6.16,7.38,1.24,27.12165332
2.27,7.27,1.05,16.2,80,8.41,7.44,1.32,33.39836157
1.35,7.07,0.96,13.35270899,0,1.35,7.07,0.96,13.35270899
1.35,7.07,0.96,13.35270899,10,1.67,7.07,0.96,14.22137405
1.35,7.07,0.96,13.35270899,20,1.92,7.07,0.97,14.91208341
1.35,7.07,0.96,13.35270899,40,2.66,7.09,0.98,16.95706572
1.35,7.07,0.96,13.35270899,60,3.77,7.17,0.99,20.07883076
1.35,7.07,0.96,13.35270899,80,4.99,7.13,1,23.3544219
